Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2013,1,1,"Dublin City School District, Ohio",1080,90.7,80640,0.49,0.51,0.06,0.2,0.74,0.79,0.21,0.37,0.63,76787
2013,1,0,"Dubuque Community School District, Iowa",691,73.2,76479,0.49,0.51,0.06,0.16,0.78,0.93,0.07,0.7,0.3,46739
2008,0,0,"Dubuque Community School District, Iowa",712,72.3,74071,0.49,0.51,0.07,0.17,0.76,0.96,0.04,0.73,0.27,47300
2008,0,1,"East Cleveland City School District, Ohio",226,56.6,22727,0.43,0.57,0.08,0.19,0.73,0.06,0.94,0.88,0.12,25346
2013,1,1,"East Cleveland City School District, Ohio",179,46.9,20759,0.46,0.54,0.08,0.17,0.74,0.06,0.94,0.88,0.12,19023
2008,0,1,"Elyria City School District, Ohio",487,57.7,52832,0.47,0.53,0.05,0.19,0.76,0.82,0.18,0.87,0.13,40826
2013,1,1,"Elyria City School District, Ohio",398,68.1,52294,0.47,0.53,0.07,0.15,0.78,0.78,0.22,0.85,0.15,38258
2008,0,1,"Euclid City School District, Ohio",342,53.5,49140,0.45,0.55,0.05,0.19,0.76,0.49,0.51,0.81,0.19,37856
2013,1,1,"Euclid City School District, Ohio",358,58.1,48321,0.46,0.54,0.06,0.17,0.78,0.39,0.61,0.81,0.19,32095
2008,0,1,"Fairborn City School District, Ohio",315,66.7,42453,0.49,0.51,0.05,0.14,0.81,0.86,0.14,0.74,0.26,44184
2013,1,1,"Fairborn City School District, Ohio",353,78.8,42760,0.5,0.5,0.05,0.12,0.82,0.83,0.17,0.75,0.25,39360
2008,0,1,"Fairfield City School District, Ohio",698,80.7,64883,0.49,0.51,0.06,0.18,0.76,0.86,0.14,0.76,0.24,61035
2013,1,1,"Fairfield City School District, Ohio",718,87.1,65121,0.49,0.51,0.05,0.19,0.76,0.85,0.15,0.72,0.28,55374
2008,0,1,"Findlay City School District, Ohio",457,77.9,41568,0.47,0.53,0.06,0.16,0.78,0.91,0.09,0.76,0.24,42158
2013,1,1,"Findlay City School District, Ohio",431,85.6,42529,0.48,0.52,0.06,0.16,0.77,0.92,0.08,0.73,0.27,39092
2008,0,1,"Forest Hills Local School District, Ohio",533,90.8,50667,0.49,0.51,0.07,0.21,0.72,0.95,0.05,0.51,0.49,81415
2013,1,1,"Forest Hills Local School District, Ohio",590,93.1,46165,0.47,0.53,0.06,0.2,0.74,0.95,0.05,0.48,0.52,78352
2013,1,0,"Fort Dodge Community School District, Iowa",245,72.2,28637,0.51,0.49,0.05,0.15,0.8,0.9,0.1,0.8,0.2,36160
2008,0,0,"Fort Dodge Community School District, Iowa",248,65.3,29658,0.51,0.49,0.06,0.17,0.76,0.9,0.1,0.82,0.18,39989
2008,0,1,"Franklin City School District, Ohio",205,80,20669,0.49,0.51,0.1,0.16,0.74,0.94,0.06,0.92,0.08,46047
2013,1,1,"Franklin City School District, Ohio",203,80.3,20501,0.5,0.5,0.06,0.16,0.77,0.94,0.06,0.87,0.13,46897
2008,0,1,"Fremont City School District, Ohio",299,69.2,30319,0.49,0.51,0.08,0.16,0.75,0.89,0.11,0.87,0.13,44117
