tot_pop_log,median_inc_log,year,after,ohio,school_district,number_tested,pct_prof_or_above,tot_pop,perc_male,perc_female,perc_under5,perc_5to19,perc_20plus,perc_caucasian,perc_otherethnicity,perc_nobach,perc_bachplus,median_inc,interaction
10.627382149044733,10.706430398918958,2013,1,1,"Cuyahoga Falls City School District, Ohio",382,88.2,41248,0.49,0.51,0.06,0.15,0.8,0.94,0.06,0.7,0.3,44641,1
11.605522877637695,10.677269573116952,2013,1,0,"Davenport Community School District, Iowa",1078,70.0,109701,0.49,0.51,0.07,0.17,0.76,0.82,0.18,0.75,0.25,43358,0
11.56021927206037,10.678813619053717,2008,0,0,"Davenport Community School District, Iowa",1063,66.3,104842,0.49,0.51,0.07,0.17,0.76,0.84,0.16,0.77,0.23,43425,0
11.96976153111671,10.330290057291649,2008,0,1,"Dayton City School District, Ohio",1087,45.5,157906,0.48,0.52,0.07,0.17,0.76,0.51,0.49,0.85,0.15,30646,0
11.92785233575668,10.14858827120238,2013,1,1,"Dayton City School District, Ohio",1005,52.6,151425,0.49,0.51,0.06,0.14,0.79,0.52,0.48,0.84,0.16,25554,1
10.4690002054518,10.848560085835736,2008,0,1,"Delaware City School District, Ohio",377,77.5,35206,0.48,0.52,0.08,0.17,0.76,0.88,0.12,0.7,0.3,51459,0
10.5172667977125,10.795874860328723,2013,1,1,"Delaware City School District, Ohio",429,85.6,36947,0.48,0.52,0.06,0.17,0.77,0.93,0.07,0.69,0.31,48818,1
12.227516082823826,10.629126124296002,2013,1,0,"Des Moines Independent Community School District, Iowa",2290,62.1,204334,0.49,0.51,0.08,0.17,0.75,0.78,0.22,0.75,0.25,41320,0
12.196194012106684,10.692240323807754,2008,0,0,"Des Moines Independent Community School District, Iowa",2050,60.5,198033,0.49,0.51,0.08,0.17,0.75,0.79,0.21,0.77,0.23,44012,0
11.242048066387397,11.276392676537002,2008,0,1,"Dublin City School District, Ohio",1029,86.6,76270,0.5,0.5,0.08,0.21,0.72,0.81,0.19,0.39,0.61,78935,0
11.297762484021957,11.24880365692746,2013,1,1,"Dublin City School District, Ohio",1080,90.7,80640,0.49,0.51,0.06,0.2,0.74,0.79,0.21,0.37,0.63,76787,1
11.244784547725283,10.752355608092849,2013,1,0,"Dubuque Community School District, Iowa",691,73.2,76479,0.49,0.51,0.06,0.16,0.78,0.93,0.07,0.7,0.3,46739,0
11.212792872127883,10.764286715905591,2008,0,0,"Dubuque Community School District, Iowa",712,72.3,74071,0.49,0.51,0.07,0.17,0.76,0.96,0.04,0.73,0.27,47300,0
10.031352923534024,10.140415658820954,2008,0,1,"East Cleveland City School District, Ohio",226,56.6,22727,0.43,0.57,0.08,0.19,0.73,0.06,0.94,0.88,0.12,25346,0
9.940783337279825,9.853456618930563,2013,1,1,"East Cleveland City School District, Ohio",179,46.9,20759,0.46,0.54,0.08,0.17,0.74,0.06,0.94,0.88,0.12,19023,1
10.874891274463195,10.617098906228428,2008,0,1,"Elyria City School District, Ohio",487,57.7,52832,0.47,0.53,0.05,0.19,0.76,0.82,0.18,0.87,0.13,40826,0
10.864656043188369,10.552134105695009,2013,1,1,"Elyria City School District, Ohio",398,68.1,52294,0.47,0.53,0.07,0.15,0.78,0.78,0.22,0.85,0.15,38258,1
10.802448995888462,10.54157118232102,2008,0,1,"Euclid City School District, Ohio",342,53.5,49140,0.45,0.55,0.05,0.19,0.76,0.49,0.51,0.81,0.19,37856,0
